Ticket_ID,Date,User_Type,Unit_Dept,Issue_Category,Issue_Description,Priority,Response_Time_Hrs,Resolution_Time_Hrs,Status,Resolved,Response_SLA,Is_Delayed,Resolution_Category
HD0001,2026-05-24,Postgraduate Student,Library,ID Card,ID card details incorrect,Low,4.99,8.21,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0002,2026-07-07,Student,Library,Registration,Registration page not responding,Medium,3.71,13.98,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0003,2026-04-23,Staff,Student Affairs,Email,University email not working,High,1.32,5.01,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0004,2026-04-03,Staff,Registry,Internet/Network,Wi-Fi connection unstable,Medium,6.2,10.06,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0005,2026-01-25,Postgraduate Student,College of Animal Science,Software/MIS,Application access problem,Low,2.94,5.22,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0006,2026-01-16,Postgraduate Student,Academic Planning,Software/MIS,Software installation request,Medium,2.02,4.97,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0007,2026-05-01,Student,ICTREC,Hardware,Printer not responding,High,1.71,2.8,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0008,2026-01-23,Student,College of Veterinary Medicine,Payment/Invoice,Payment confirmation delayed,Medium,1.01,3.82,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0009,2026-08-29,Postgraduate Student,Library,Internet/Network,Cannot access campus Internet,Medium,1.49,7.5,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0010,2026-03-14,Staff,Postgraduate School,Email,University email not working,Low,2.31,2.78,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0011,2026-08-27,Postgraduate Student,College of Engineering,Clearance,Unable to complete online clearance,Medium,5.82,4.49,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0012,2026-04-24,Student,Library,Portal,Programme information not updating,Medium,2.7,22.77,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0013,2026-06-14,Student,College of Plant Science,Internet/Network,Slow Internet connection,Low,2.82,8.15,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0014,2026-05-26,Student,College of Agricultural Management,Admission,Admission portal error,Critical,0.42,10.21,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0015,2026-03-21,Postgraduate Student,Postgraduate School,Admission,Change of course not reflecting,High,1.08,5.15,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0016,2026-02-01,Postgraduate Student,Student Affairs,Registration,Registration page not responding,High,1.08,22.04,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0017,2026-05-20,Student,College of Engineering,ID Card,ID card details incorrect,Medium,2.58,31.16,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0018,2026-05-30,Staff,Academic Planning,Registration,Unable to submit course registration,Low,5.97,9.6,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0019,2026-05-25,Staff,College of Plant Science,Registration,Registered course not displaying,Low,4.26,0.79,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0020,2026-07-06,Staff,Library,Email,Mailbox access problem,High,0.72,6.63,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0021,2026-03-09,Postgraduate Student,College of Engineering,Others,System access request,High,2.25,5.65,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0022,2026-01-20,Student,College of Environmental Resources,Payment/Invoice,Invoice not generated,Low,3.57,2.47,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0023,2026-02-07,Student,Library,Clearance,Clearance record not displaying,Medium,1.15,43.06,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0024,2026-04-23,Student,Postgraduate School,Email,Email messages not being received,Low,2.95,15.3,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0025,2026-07-28,Student,College of Veterinary Medicine,Website/Multimedia,University webpage not updating,Low,4.59,16.44,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0026,2026-08-16,Staff,Bursary,Internet/Network,Slow Internet connection,Low,4.54,24.61,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0027,2026-01-08,Postgraduate Student,Registry,Website/Multimedia,University webpage not updating,Medium,1.79,44.91,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0028,2026-08-24,Student,College of Agricultural Management,Software/MIS,System error during data entry,Medium,4.58,12.31,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0029,2026-07-11,Student,Postgraduate School,Payment/Invoice,Receipt cannot be generated,Low,2.4,29.34,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0030,2026-07-15,Student,Library,Admission,Admission status not displaying,Medium,3.12,9.22,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0031,2026-01-25,Staff,College of Plant Science,Portal,Programme information not updating,Low,2.92,8.88,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0032,2026-06-02,Student,College of Agricultural Management,Portal,Unable to login to student portal,High,0.82,2.32,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0033,2026-06-25,Student,College of Environmental Resources,ID Card,ID card printing problem,Medium,4.06,10.33,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0034,2026-09-01,Staff,Bursary,Internet/Network,Network connection unavailable,Medium,2.5,11.73,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0035,2026-08-31,Staff,Registry,Registration,Registration page not responding,Low,4.64,1.86,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0036,2026-07-04,Student,College of Engineering,Portal,Student profile not displaying correctly,Low,4.64,5.89,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0037,2026-08-31,Postgraduate Student,College of Plant Science,Others,General ICT support request,Medium,2.55,10.98,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0038,2026-03-18,Student,Academic Planning,Student Information,Biodata information needs correction,High,0.36,8.63,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0039,2026-08-25,Student,ICTREC,Admission,Change of course not reflecting,Medium,2.73,9.88,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0040,2026-07-13,Student,College of Engineering,Registration,Registered course not displaying,Medium,2.73,1.43,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0041,2026-06-03,Student,Registry,Admission,Admission application issue,Medium,2.3,6.17,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0042,2026-03-09,Student,Academic Planning,Registration,Course registration error,High,3.38,4.72,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0043,2026-03-06,Postgraduate Student,College of Agricultural Management,Payment/Invoice,Outstanding invoice still showing after payment,High,0.96,47.0,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
